Layers	Fc_units	Epochs	Batch_Size	Train_Time	Loss	Val_Loss	Accuracy	Val_Accuracy
4.0	32.0	200.0	64.0	1518,936660528183	0.0002462830452714116	0.0021068472415208817	0.998770833015442	0.9892500042915344
4.0	32.0	100.0	64.0	726.2077898979187	0.0004056310572195798	0.002265516668558121	0.9979583621025084	0.9882500171661376
4.0	32.0	20.0	64.0	341.91988229751587	0.0011126850731670856	0.002528909826651216	0.9941874742507936	0.9869999885559082
5.0	32.0	20.0	64.0	460.14333486557007	0.001573132467456162	0.002635737415403128	0.9919166564941406	0.9862499833106996
4.0	32.0	20.0	128.0	240.39850044250488	0.0009345614234916867	0.0026041739620268345	0.9951458573341372	0.9860833287239076
4.0	32.0	30.0	64.0	211.14050102233887	0.0008377633057534696	0.002835295395925641	0.9956666827201844	0.9853333234786988
4.0	16.0	20.0	64.0	343.56931710243225	0.0010539183858782053	0.002811627462506295	0.9944375157356262	0.9851666688919068
4.0	32.0	20.0	32.0	633.3892841339111	0.0018331960309296849	0.0030100878793746233	0.990666687488556	0.984666645526886
6.0	32.0	20.0	64.0	1169.6057088375094	0.0015772972255945206	0.002966598141938448	0.9918333292007446	0.9844999909400941
4.0	64.0	20.0	64.0	350.093138217926	0.0013049677945673466	0.002976583782583475	0.9932708144187928	0.9844999909400941
4.0	32.0	20.0	256.0	185.44765949249268	0.0006138747557997705	0.0030035413801670074	0.9966250061988832	0.984000027179718
4.0	32.0	20.0	512.0	163.74113273620603	0.00043937761802226316	0.002933959243819117	0.9974791407585144	0.9837499856948853
4.0	128.0	20.0	64.0	373.89958024024963	0.0023482625838369127	0.0035958236549049616	0.9880416393280028	0.9816666841506958
4.0	32.0	10.0	64.0	74.47098183631897	0.0018174701835960148	0.0038802921772003174	0.9904999732971193	0.9797499775886536
4.0	256.0	20.0	64.0	419.769193649292	0.08766883611679077	0.08561211824417114	0.5613541603088379	0.5716666579246521
